Num, 1, 6, 11, 16, 21, 26
50000,3.8e-05,3.9e-05,4e-05,4.7e-05,3.8e-05,3.6e-05,
100000,7.2e-05,7.7e-05,7.6e-05,7.6e-05,8.1e-05,7.6e-05,
200000,0.000144,0.000143,0.000143,0.000157,0.000146,0.000142,
400000,0.000285,0.000285,0.000322,0.000285,0.000285,0.000286,
