Num, 1, 6, 11, 16, 21, 26
50000,0.015903,0.017124,0.017702,0.016517,0.022651,0.014663,
100000,0.035853,0.029186,0.031836,0.029423,0.028159,0.030586,
200000,0.06868,0.068073,0.065719,0.064927,0.064682,0.068847,
400000,0.133287,0.136602,0.134344,0.129355,0.130682,0.128794,
