Num, 1, 6, 11, 16, 21, 26
50000,3.8e-05,3.8e-05,4e-05,3.7e-05,3.8e-05,3.6e-05,
100000,7.2e-05,7.6e-05,7.6e-05,7.6e-05,8e-05,7.6e-05,
200000,0.000143,0.000142,0.000142,0.000155,0.000148,0.000144,
400000,0.000285,0.000285,0.000304,0.000285,0.000285,0.000285,
