Num, 1, 6, 11, 16, 21, 26
50000,0.016292,0.01572,0.015363,0.013914,0.015612,0.016529,
100000,0.031222,0.030173,0.028708,0.028785,0.027582,0.030515,
200000,0.072394,0.066207,0.060152,0.063973,0.06284,0.058251,
400000,0.127224,0.130507,0.123227,0.12963,0.120659,0.122451,
