Num, 1, 6, 11, 16, 21, 26
50000,0.011642,0.009615,0.008748,0.010385,0.008872,0.008725,
100000,0.020557,0.019225,0.019147,0.021132,0.019575,0.020926,
200000,0.040849,0.043471,0.043183,0.042961,0.043166,0.040672,
400000,0.088277,0.094561,0.09232,0.08577,0.087784,0.091351,
