Num, 1, 6, 11, 16, 21, 26
50000,0.000793,0.001038,0.000809,0.000936,0.001847,0.000776,
100000,0.00159,0.001717,0.001591,0.001771,0.002813,0.001699,
200000,0.003465,0.004369,0.003436,0.004079,0.004853,0.003992,
400000,0.006483,0.007824,0.00736,0.006819,0.007284,0.007261,
