Num, 1, 6, 11, 16, 21, 26
50000,0.001052,0.000778,0.000555,0.000616,0.000962,0.000559,
100000,0.001234,0.001488,0.001244,0.001323,0.001547,0.001459,
200000,0.002911,0.002938,0.003595,0.002587,0.00313,0.003601,
400000,0.006199,0.00608,0.006064,0.006074,0.005701,0.006335,
